sale_day,weather_code (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),sunny or not,weather
04/01/2024,63,13,9.2,0,rain&snow
04/02/2024,3,12.2,0,1,sunny
04/03/2024,61,12,15.9,0,rain&snow
04/04/2024,63,13.5,8.1,0,rain&snow
04/05/2024,51,10.4,1,0,rain&snow
04/06/2024,3,12,0,0,rain&snow
04/07/2024,53,15.6,1.6,0,rain&snow
04/08/2024,51,16.3,0.4,0,rain&snow
04/09/2024,65,14.8,47.1,0,rain&snow
04/10/2024,3,11,0,1,sunny
04/11/2024,3,12.5,0,1,sunny
04/12/2024,51,13.6,0.1,0,rain&snow
04/13/2024,2,15.6,0,1,sunny
04/14/2024,3,15.7,0,1,sunny
04/15/2024,3,17,0,1,sunny
04/16/2024,3,17.6,0,1,sunny
04/17/2024,61,18.9,2.5,0,rain&snow
04/18/2024,51,16.3,0.8,0,rain&snow
04/19/2024,51,16.7,0.1,0,rain&snow
04/20/2024,3,16.8,0,0,rain&snow
04/21/2024,61,16.7,4.8,0,rain&snow
04/22/2024,61,15.4,9.1,0,rain&snow
04/23/2024,3,16.1,0,0,rain&snow
04/24/2024,61,14.9,11.5,0,rain&snow
04/25/2024,51,18.8,0.1,0,rain&snow
04/26/2024,3,18.1,0,1,sunny
04/27/2024,51,18.3,0.2,0,rain&snow
04/28/2024,3,19.1,0,1,sunny
04/29/2024,3,19.4,0,1,sunny
04/30/2024,53,19.9,1.6,1,sunny
05/01/2024,63,16.3,37.6,0,rain&snow
05/02/2024,61,14.9,5.1,0,rain&snow
05/03/2024,1,16.7,0,1,sunny
05/04/2024,3,19,0,1,sunny
05/05/2024,2,19.8,0,1,sunny
05/06/2024,3,19.8,0,1,sunny
05/07/2024,63,19.8,12.7,0,rain&snow
05/08/2024,63,17.7,11.9,0,rain&snow
05/09/2024,55,12.8,5,0,rain&snow
05/10/2024,0,16.7,0,1,sunny
05/11/2024,1,19.5,0,1,sunny
05/12/2024,3,20,0,0,rain&snow
05/13/2024,63,19.3,47,0,rain&snow
05/14/2024,51,17.8,0.2,1,sunny
05/15/2024,53,18.7,1.3,0,rain&snow
05/16/2024,63,18.9,11.3,0,rain&snow
05/17/2024,2,19.6,0,1,sunny
05/18/2024,2,20.4,0,1,sunny
05/19/2024,53,18,3.2,0,rain&snow
05/20/2024,63,18.2,25.4,0,rain&snow
05/21/2024,51,21.1,0.3,0,rain&snow
05/22/2024,3,19.8,0,1,sunny
05/23/2024,3,20.8,0,1,sunny
05/24/2024,3,21.8,0,1,sunny
05/25/2024,2,20,0,1,sunny
05/26/2024,2,20.2,0,1,sunny
05/27/2024,51,21.1,1,0,rain&snow
05/28/2024,63,22.4,22.2,0,rain&snow
05/29/2024,55,22,2.5,0,rain&snow
05/30/2024,3,21.6,0,0,rain&snow
05/31/2024,65,19.2,41,0,rain&snow
06/01/2024,51,20.9,0.4,0,rain&snow
06/02/2024,65,19,53.3,0,rain&snow
06/03/2024,63,19.2,11,0,rain&snow
06/04/2024,53,19.7,0.7,0,rain&snow
06/05/2024,2,21,0,1,sunny
06/06/2024,3,21.6,0,0,rain&snow
06/07/2024,3,21.8,0,0,rain&snow
06/08/2024,3,21.9,0,0,rain&snow
06/09/2024,3,21.7,0,0,rain&snow
06/10/2024,63,21,9.4,0,rain&snow
06/11/2024,3,23,0,1,sunny
06/12/2024,3,23.8,0,1,sunny
06/13/2024,3,21.9,0,1,sunny
06/14/2024,1,24.3,0,1,sunny
06/15/2024,51,23.5,0.2,0,rain&snow
06/16/2024,63,23.4,13.2,0,rain&snow
06/17/2024,51,24.8,0.3,0,rain&snow
06/18/2024,63,19.9,70.9,0,rain&snow
06/19/2024,3,23.3,0,1,sunny
06/20/2024,3,23.8,0,1,sunny
06/21/2024,65,21,42.4,0,rain&snow
06/22/2024,51,23.7,0.1,1,sunny
06/23/2024,63,22,38.5,0,rain&snow
06/24/2024,53,25.4,1,0,rain&snow
06/25/2024,3,26.5,0,1,sunny
06/26/2024,53,25.6,0.9,0,rain&snow
06/27/2024,3,24.8,0,0,rain&snow
06/28/2024,65,22.6,107.2,0,rain&snow
06/29/2024,61,23.9,2.6,0,rain&snow
06/30/2024,61,25.1,7.7,0,rain&snow
07/01/2024,63,25.8,32.9,0,rain&snow
07/02/2024,51,26.5,1.3,0,rain&snow
07/03/2024,51,26.2,0.3,0,rain&snow
07/04/2024,3,27.9,0,1,sunny
07/05/2024,2,28.3,0,1,sunny
07/06/2024,53,28.1,0.9,0,rain&snow
07/07/2024,3,27.6,0,1,sunny
